,ResponseId,Q1,Q2,Q3,Q4,AI Trust Score
349,R_8qfSWNFbTbX3gYm,6,"$30,000 - $49,000",1,Yes,22
350,R_0AQflQiZUesh7OC,2,"$10,000 - $29,000",1,No,20
351,R_d5LbzttEVftK2Ds,6,"$110,000 or more",1,No,31
352,R_9o8F779efmlNYj4,5,"$0 - $9,999",3,No,22
353,R_ezWFFKGqA6wWXgq,3,"$90,000 - $109,000",3,No,22
354,R_9RfYhInzpCTCbAO,5,"$110,000 or more",2,No,22
355,R_8l9spOJPZiWedPo,7,"$0 - $9,999",1,Yes,25
356,R_0rLxUahzOXNQobY,1,"$110,000 or more",None,Yes,26
357,R_0pqylcUuGO45Mhw,5,"$30,000 - $49,000",3,No,22
358,R_74fX6szYiDvc9x4,2,"$70,000 - $89,000",3,Yes,22
359,R_50TZU5cW4UyeCxg,1,"$50,000 - $69,000",2,No,29
360,R_8CwvRxiqLyv1n2m,4,"$0 - $9,999",3,Yes,17
361,R_e9yHCi1yAe2lm5g,6,"$110,000 or more",None,Yes,30
362,R_e375wVQfkHv2hxk,4,"$70,000 - $89,000",1,No,24
363,R_9AHvxvt3ZerFGOG,1,"$110,000 or more",2,No,30
364,R_0TlsKsG2ulgkH5Q,4,"$70,000 - $89,000",1,Yes,28
365,R_e4LmiL1e0DV2MwS,3,"$110,000 or more",1,No,21
366,R_aeCvETSGMixCk5M,5,"$110,000 or more",2,Yes,27
367,R_86XXL4mE3Tv5AO2,5,"$30,000 - $49,000",4 or more,Yes,18
368,R_bK2IMQMHohJMVEi,5,"$50,000 - $69,000",None,Yes,22
369,R_43nX8wXOYWxwrS6,2,"$10,000 - $29,000",1,Yes,29
370,R_6mzfNSusWhGDCgm,7,"$10,000 - $29,000",2,Yes,28
371,R_ebWqYFEyFsORW98,4,"$90,000 - $109,000",4 or more,Yes,15
372,R_8win3AbRBJdey1g,4,"$90,000 - $109,000",2,No,25
373,R_bIXQEnvKaLPAIwS,4,"$0 - $9,999",3,Yes,25
374,R_a5EoRF5UsBVmKi2,1,"$10,000 - $29,000",1,No,19
375,R_3Rb68C8D3ssmk0S,4,"$110,000 or more",None,No,18
376,R_enWg1KzU0P1OBzE,6,"$50,000 - $69,000",1,No,27
377,R_2i85IX53K7Yi7sy,4,"$90,000 - $109,000",2,No,25
378,R_9sCX8zzLuhftSiW,5,"$70,000 - $89,000",3,No,24
379,R_8jne7bwqoip2RlI,5,"$10,000 - $29,000",None,Yes,21
380,R_dhUPsgTdWdWFSfA,1,"$0 - $9,999",None,No,20
381,R_4O5KSSCCZ8Fp4tU,3,"$30,000 - $49,000",4 or more,Yes,29
382,R_egOeOy0V3f5LgZo,4,"$70,000 - $89,000",4 or more,Yes,25
383,R_6FgO1zPUOOE6vOK,4,"$70,000 - $89,000",None,Yes,26
384,R_8kqmW4qBrh6VOR0,7,"$110,000 or more",2,No,32
385,R_0xmnMbnPv8aL3oi,2,"$0 - $9,999",None,Yes,27
386,R_dgnBvXmRYQn4Thc,1,"$0 - $9,999",2,Yes,27
387,R_9So3qUZhYlNKJBI,6,"$0 - $9,999",3,No,20
388,R_1ByQZf0BPTAqw06,3,"$0 - $9,999",1,Yes,20
389,R_d0xNHqI01WwX1xI,3,"$30,000 - $49,000",3,Yes,27
390,R_dnfNDs1QqkV2Vkq,1,"$110,000 or more",2,No,28
391,R_cBFjy0keLXlsn8W,5,"$50,000 - $69,000",None,Yes,28
392,R_9ypKRWvRUEXLWE6,6,"$50,000 - $69,000",1,Yes,26
393,R_410e0joqVskcw0S,7,"$50,000 - $69,000",1,No,22
394,R_1zFPTTarwjqiNGS,2,"$10,000 - $29,000",3,Yes,24
395,R_dd940SDdIlzcFZY,7,"$50,000 - $69,000",3,No,26
396,R_e96WBBblyxFPmpo,2,"$90,000 - $109,000",None,No,25
397,R_0V9UeGcctc61qMS,6,"$10,000 - $29,000",1,Yes,25
398,R_3xXZm6EPmcPOcJw,6,"$90,000 - $109,000",None,Yes,20
399,R_3IAjQ3cT8O4OE7k,6,"$50,000 - $69,000",None,Yes,31
400,R_bwuwXPPaXD72eIS,5,"$70,000 - $89,000",3,Yes,25
401,R_2f9Ez3h8pY0ASVg,7,"$90,000 - $109,000",None,No,23
402,R_eEE2cN5gJ2zOfuS,4,"$110,000 or more",3,Yes,28
403,R_afQUtq3AOC785Cu,5,"$70,000 - $89,000",None,Yes,22
404,R_6PxHCUUgL5AfJfo,3,"$90,000 - $109,000",None,Yes,19
405,R_3w35uJWIXumElka,2,"$70,000 - $89,000",3,No,24
406,R_06qgLrOhEmMJlb0,2,"$50,000 - $69,000",1,Yes,25
407,R_czM2TscbqG5R67A,7,"$90,000 - $109,000",2,Yes,27
408,R_bHNMzePNapyhaQu,7,"$50,000 - $69,000",4 or more,Yes,21
409,R_0DSlypKmMsDuQLA,1,"$10,000 - $29,000",4 or more,No,31
410,R_6Musc9NCVeL7UOy,2,"$30,000 - $49,000",4 or more,No,16
411,R_37O7YqI0y9TPiAu,2,"$110,000 or more",2,No,31
412,R_41qsR5P5S2ADQbk,2,"$30,000 - $49,000",1,Yes,24
413,R_d0AIpompjmM1CSO,7,"$10,000 - $29,000",2,Yes,18
414,R_eYfzrYHy9dCrunA,2,"$0 - $9,999",None,No,17
415,R_0fuX3ia6LFwlNeS,4,"$10,000 - $29,000",1,No,22
416,R_6PWXKbB7ukILNs2,7,"$90,000 - $109,000",None,No,24
417,R_aWUrciYAAvnuOkm,2,"$10,000 - $29,000",2,Yes,18
418,R_2bEFENcGAohWJCK,1,"$70,000 - $89,000",3,Yes,34
419,R_0IYZMzG0F4SfZMq,7,"$110,000 or more",3,Yes,23
420,R_4MBqS8tcmwlSJv0,3,"$30,000 - $49,000",1,No,29
421,R_3mxQkC57XUy2Dqu,7,"$30,000 - $49,000",1,Yes,24
422,R_81dPDijNcCGNLYW,5,"$90,000 - $109,000",3,No,24
423,R_6PU1a6Y6d9wB09M,3,"$10,000 - $29,000",1,Yes,22
424,R_6mPZds09ODvYH1Y,5,"$50,000 - $69,000",4 or more,No,27
425,R_6VGlchib4yHUbwW,7,"$70,000 - $89,000",None,No,22
426,R_bJcp5dZ9RBjBOyG,4,"$50,000 - $69,000",None,No,26
427,R_0D4WjSyucZZ2Ezs,7,"$110,000 or more",4 or more,Yes,20
428,R_a8yqTzSgWvVMJRs,4,"$10,000 - $29,000",4 or more,No,25
429,R_82nObj8yjQO5Ha6,7,"$90,000 - $109,000",3,No,24
430,R_8lge8JXZuBzNlky,3,"$50,000 - $69,000",2,Yes,27
431,R_bmgprHYUrPYnXRI,1,"$0 - $9,999",4 or more,No,28
432,R_38UCshTteHywnGe,3,"$10,000 - $29,000",None,Yes,27
433,R_b9rBdIjiArDWnnE,1,"$10,000 - $29,000",3,No,22
434,R_bOExf8RS1br1Qcm,4,"$110,000 or more",3,Yes,21
435,R_dmp8S9W5FugClOm,5,"$110,000 or more",3,No,20
436,R_8rdOnh28dOR909w,2,"$110,000 or more",1,Yes,19
437,R_cZtDpIBwvtrcyyy,6,"$50,000 - $69,000",None,No,22
438,R_eCFt7SO82308Jw2,2,"$0 - $9,999",None,No,18
439,R_0rLLa3QBDKOX51Y,5,"$10,000 - $29,000",1,Yes,28
440,R_cUy1Z3GyzvzrsrA,7,"$0 - $9,999",4 or more,No,22
441,R_0qBWArKr6QVAyIS,3,"$110,000 or more",None,Yes,29
442,R_0VUCAvPPZF0hrfM,7,"$10,000 - $29,000",None,No,20
443,R_0PNCPAoH55WpXqC,5,"$10,000 - $29,000",3,No,24
444,R_0vUgOYqjlAqDSfQ,4,"$110,000 or more",1,No,20
445,R_ea0NdlznSkFThfo,1,"$90,000 - $109,000",2,No,20
446,R_8JrsOgGvsAQ6al8,1,"$90,000 - $109,000",None,No,26
447,R_4SFASxCjaZb5KE6,3,"$90,000 - $109,000",3,No,18
448,R_6rPEy9ifhlkcPPM,6,"$50,000 - $69,000",2,No,23
449,R_6tEIH4oTmywAtKu,1,"$110,000 or more",4 or more,No,27
450,R_e4cfOcvXm3rzhEG,4,"$70,000 - $89,000",3,No,20
451,R_249yyXtEKM9M1YW,2,"$10,000 - $29,000",3,Yes,24
452,R_1LVLtHkKEPgMf8a,1,"$90,000 - $109,000",4 or more,Yes,18
453,R_5igcsWlwPwOGItg,6,"$30,000 - $49,000",4 or more,No,28
454,R_cTIBDQYYEGoSS7Y,7,"$70,000 - $89,000",1,Yes,22
455,R_0keBlwga5EMWYVE,5,"$110,000 or more",4 or more,Yes,25
456,R_1YbsnSfaSPc0OzQ,1,"$70,000 - $89,000",2,No,31
457,R_dnAuddJsEPXh8qy,4,"$30,000 - $49,000",None,Yes,24
458,R_4PFEtEp1fSYbKQu,7,"$10,000 - $29,000",1,No,29
459,R_0JyaLCGvOlHvwnI,4,"$10,000 - $29,000",1,No,17
460,R_d4EHf6rN3LXtaNE,6,"$10,000 - $29,000",2,No,27
461,R_exPeDinrABrfZ5k,1,"$50,000 - $69,000",1,Yes,25
462,R_6X1Bd0Vjmc9fHJI,1,"$10,000 - $29,000",3,No,23
463,R_6fAqAcUa06T24nk,4,"$50,000 - $69,000",4 or more,No,27
464,R_1YvPScWhv006nAO,2,"$0 - $9,999",1,No,21
465,R_eEgww1V26zBLJQi,1,"$50,000 - $69,000",3,Yes,24
466,R_4YOi6xty8pCB010,6,"$90,000 - $109,000",1,No,27
467,R_bvWUn1bw0UKhdZ4,3,"$30,000 - $49,000",1,No,28
468,R_3VGB6kigEm4zFhI,3,"$70,000 - $89,000",2,Yes,25
469,R_81uhTKcUvVwMyDY,2,"$90,000 - $109,000",2,Yes,25
470,R_4Sg60KR6DvZNO5M,6,"$0 - $9,999",2,Yes,22
471,R_8k7Zz2f6z7z3e0C,3,"$70,000 - $89,000",2,No,27
472,R_eX2m0H2nX1Ld8zk,4,"$90,000 - $109,000",1,Yes,24
473,R_bQLTw2Qgv4SrBZQ,2,"$110,000 or more",4 or more,Yes,22
474,R_cYK5xNeKfxFnqLk,3,"$10,000 - $29,000",1,No,19
475,R_bykwAFtOnLHnrcG,2,"$50,000 - $69,000",4 or more,Yes,16
476,R_0ptxFLJAWIEy67s,1,"$110,000 or more",3,Yes,28
477,R_9mew8E6GmCP41mK,5,"$50,000 - $69,000",4 or more,Yes,23
478,R_4HiVndguL3emCpw,6,"$0 - $9,999",3,No,26
479,R_5gxn6wOjj7PYvWu,5,"$90,000 - $109,000",4 or more,No,27
480,R_bHiGr0IhSfvDCom,5,"$110,000 or more",4 or more,No,18
481,R_dapgdKf0b77Ib0W,2,"$110,000 or more",2,No,20
482,R_5iKFmVBc43NL6Jw,5,"$90,000 - $109,000",2,Yes,27
483,R_4ZNnUAaGPB9sMw6,7,"$90,000 - $109,000",2,No,28
484,R_3l7QjlwNkKSuMuy,6,"$110,000 or more",2,No,27
485,R_6PEXATl9jo4QwVE,7,"$50,000 - $69,000",2,No,26
486,R_9yFQv0JagMwmBim,7,"$90,000 - $109,000",1,No,27
487,R_etZ0VafP0ecO1me,5,"$110,000 or more",2,Yes,19
488,R_3ORRqKt3iU3p7QW,1,"$50,000 - $69,000",None,No,24
489,R_cGWZEXG84t1kANo,7,"$0 - $9,999",3,No,20
490,R_2n27LSQLMN7jb3U,1,"$90,000 - $109,000",None,Yes,28
491,R_cwQ5qKrENOFrHNk,3,"$10,000 - $29,000",4 or more,Yes,29
492,R_72okzzYJOLRcMv4,4,"$30,000 - $49,000",None,Yes,22
493,R_2h2wP6WOEJyjQj4,6,"$50,000 - $69,000",4 or more,Yes,29
494,R_bloMAk31HmvX2fk,1,"$10,000 - $29,000",2,No,23
495,R_5mRHVxQw15yCzdk,4,"$30,000 - $49,000",3,No,19
496,R_5mxkyUB3u26kUoC,1,"$0 - $9,999",4 or more,Yes,34
497,R_8k183AnyPo67m8C,2,"$10,000 - $29,000",2,Yes,24
498,R_bskWVxu2fJnKHPM,6,"$50,000 - $69,000",1,Yes,23
499,R_6s1A34fMvpADzWm,5,"$90,000 - $109,000",3,No,25
500,R_baoXf6jwE0rHoYm,1,"$110,000 or more",None,Yes,26
501,R_3lu5uO8ZvE2jpSm,6,"$110,000 or more",3,Yes,22
502,R_6GnqiTgP7aiI3LE,4,"$30,000 - $49,000",1,No,24
503,R_9vPI8jykzXXzAnY,1,"$50,000 - $69,000",None,No,25
504,R_8D1NzYbXFEL5czA,7,"$50,000 - $69,000",None,No,30
505,R_3gEEf03dysyfsjA,2,"$10,000 - $29,000",4 or more,Yes,29
506,R_4G8nc2UaCV5r4ea,6,"$10,000 - $29,000",4 or more,No,26
507,R_cvFfSPPR1gw1pxY,4,"$30,000 - $49,000",1,Yes,16
508,R_3rbK93fp1KHegV8,1,"$50,000 - $69,000",4 or more,Yes,20
509,R_0J7OR6gco962d3U,7,"$10,000 - $29,000",4 or more,No,26
510,R_czKdMWYVYTwkAfA,2,"$30,000 - $49,000",1,Yes,24
511,R_5A48dd8bFZlNvoy,7,"$90,000 - $109,000",1,Yes,26
512,R_9BjhXfvdXzGw8rI,2,"$0 - $9,999",None,No,26
513,R_eOPyNN4ggmwJ8Xk,1,"$10,000 - $29,000",1,Yes,24
514,R_1N490Huy9NrPBDo,4,"$90,000 - $109,000",3,No,21
515,R_b904NmAGRDn78eW,1,"$30,000 - $49,000",4 or more,No,22
516,R_cPj636TmEzUOaDI,2,"$30,000 - $49,000",1,Yes,20
517,R_6f0dCS3hwMO8lYq,4,"$90,000 - $109,000",1,No,22
518,R_1EN9XcI8UhjkvL8,2,"$10,000 - $29,000",3,Yes,23
519,R_6VHDww8rufDOmx0,4,"$30,000 - $49,000",4 or more,Yes,27
520,R_9ytJXvuXNch6sjI,4,"$50,000 - $69,000",None,Yes,24
521,R_3n1b6Qe5YcmrApM,2,"$110,000 or more",1,Yes,32
522,R_5dwgAKQbJbmnsbQ,2,"$70,000 - $89,000",4 or more,No,25
523,R_80rSjXPnpL2j1ga,5,"$110,000 or more",3,Yes,22
524,R_5BDJDF6u4q1YswS,7,"$50,000 - $69,000",None,No,23
525,R_8rld6lsevT7LCZw,2,"$90,000 - $109,000",3,Yes,29
526,R_6zoADvGgIoMiGWO,3,"$0 - $9,999",4 or more,Yes,22
527,R_cIRySWXHRVmzjJY,4,"$0 - $9,999",3,No,26
528,R_b2ufge9G92vnVlA,5,"$30,000 - $49,000",2,Yes,27
529,R_8GNrFOVPvm8m102,1,"$10,000 - $29,000",1,No,25
530,R_7ZGKQMLTMSpZkDI,4,"$70,000 - $89,000",2,No,19
531,R_5drw30WHrHRvJPg,6,"$110,000 or more",1,No,22
532,R_9shwf9H7mP6QJGm,5,"$10,000 - $29,000",4 or more,Yes,27
533,R_dbuTtzxuY0ZTDng,4,"$30,000 - $49,000",4 or more,Yes,25
534,R_1TvChimNN9ozaBM,6,"$50,000 - $69,000",2,No,21
535,R_3wpK3xc9mIr2u7c,2,"$90,000 - $109,000",2,No,24
536,R_9MiEjs1gk8ZIkDA,6,"$10,000 - $29,000",4 or more,Yes,19
537,R_204kSnTM4sZGoVE,1,"$110,000 or more",None,No,25
538,R_e42aRzJWcsBXpsO,6,"$30,000 - $49,000",2,No,30
539,R_2rVsU5pSTMlO3Z4,2,"$30,000 - $49,000",2,No,24
540,R_4ZcOGKCRCHjrgh0,4,"$10,000 - $29,000",None,Yes,31
541,R_3Vri1mL1gbEEzCS,5,"$30,000 - $49,000",None,Yes,22
542,R_bjsXsdF3sBLX5hI,5,"$110,000 or more",3,Yes,21
543,R_9v0YBV4GK2RPdK6,4,"$70,000 - $89,000",None,Yes,22
544,R_dbz1t22i7gO2Wj4,3,"$30,000 - $49,000",3,Yes,16
545,R_4G7PpICpsmXZC0S,5,"$30,000 - $49,000",None,Yes,21
546,R_1B5CMHMro6mfk5E,6,"$90,000 - $109,000",1,No,27
547,R_bszG9AKhdoy4nOu,1,"$70,000 - $89,000",1,Yes,19
548,R_0rpnQycdZ5W54I6,1,"$0 - $9,999",3,No,25
549,R_cJjbRzyQRKyQvEG,7,"$90,000 - $109,000",2,No,22
550,R_8CviCIygTsBGNGC,6,"$10,000 - $29,000",2,Yes,22
551,R_bPkHIykcMTkET1s,2,"$90,000 - $109,000",3,Yes,24
552,R_01USvupIAleZN9c,3,"$70,000 - $89,000",None,Yes,16
553,R_0VulY7vfqqf5jeu,1,"$10,000 - $29,000",1,No,25
554,R_7NFlXHMyHGBbWB0,2,"$30,000 - $49,000",2,Yes,23
555,R_0VDv8DKraCuFdpY,2,"$0 - $9,999",3,Yes,26
556,R_5oSds39D1EVoYIK,6,"$110,000 or more",None,No,22
557,R_d0fS0BMMeXRsbLU,3,"$70,000 - $89,000",1,No,21
558,R_8iwT74nDuhHDgUK,4,"$90,000 - $109,000",None,Yes,22
559,R_enDl3Imq1reEWAS,6,"$30,000 - $49,000",2,No,14
560,R_5dq8Vxqdb7vA58y,4,"$110,000 or more",3,Yes,25
561,R_2gz1S27448ibv4q,7,"$110,000 or more",None,No,24
562,R_0PPsucpdM5aET9c,1,"$30,000 - $49,000",1,No,30
563,R_erDJLe6zQ9KjJFc,5,"$10,000 - $29,000",2,No,25
564,R_cwJ3pyIlDjXj4yi,4,"$110,000 or more",3,No,25
565,R_cZOvjO7JDNaekrI,4,"$110,000 or more",4 or more,No,28
566,R_0TmzXyi4U5vlJwW,3,"$50,000 - $69,000",1,Yes,25
567,R_3kilEun4EYicB6e,3,"$90,000 - $109,000",2,Yes,21
568,R_2shSwSGTqispkX4,5,"$30,000 - $49,000",2,Yes,22
569,R_0NFXakfsBkCCEEm,5,"$0 - $9,999",None,No,21
570,R_1TGTNhWOKbbrQY6,4,"$110,000 or more",4 or more,No,30
571,R_1Ijzxc9V6VSauc6,1,"$90,000 - $109,000",1,Yes,18
572,R_6h4tfyTkpSE5Urk,4,"$30,000 - $49,000",None,No,20
573,R_4VqoV4JrDBYlldA,4,"$30,000 - $49,000",3,Yes,22
574,R_6nAWkNlGDUyXK2q,1,"$70,000 - $89,000",1,Yes,21
575,R_03vbIhh8RiIDV3M,3,"$90,000 - $109,000",4 or more,Yes,22
576,R_eWAF8V0EdG6xsr4,5,"$110,000 or more",None,Yes,27
577,R_2hQmKLdE7jvDet0,3,"$30,000 - $49,000",3,No,30
578,R_cMg5OO6QZ3PgYbI,5,"$90,000 - $109,000",3,Yes,23
579,R_6ERQboa1pZaA9HE,5,"$0 - $9,999",None,No,24
580,R_ehb2rJWm3SkuJhQ,6,"$30,000 - $49,000",None,No,20
581,R_6M2C3za8m4XBgHA,6,"$0 - $9,999",3,No,26
582,R_cARsJPs1qGCIA4e,7,"$0 - $9,999",4 or more,No,34
583,R_8IDFZ4hcV7BOwUC,4,"$70,000 - $89,000",2,No,32
584,R_9MPBY2NM1Az7auO,6,"$50,000 - $69,000",4 or more,Yes,29
585,R_0dD24SvKbLjlgzQ,2,"$90,000 - $109,000",4 or more,No,17
586,R_3PNjAXKhWLYsv3w,1,"$70,000 - $89,000",None,No,23
587,R_ePNzWdqby0PO7DE,6,"$30,000 - $49,000",1,No,29
588,R_cIsHZDj0pGG6VZY,4,"$90,000 - $109,000",2,Yes,22
589,R_0TxsXWm0XzwMCoe,6,"$90,000 - $109,000",2,No,27
590,R_d115P6epAbNJNwa,7,"$10,000 - $29,000",None,Yes,19
591,R_8udJ4T5aPg9ArvU,2,"$0 - $9,999",2,Yes,24
592,R_bmv6MIqGdXB60hU,4,"$90,000 - $109,000",4 or more,No,22
593,R_6hgoLcqsaMsD8Ka,7,"$70,000 - $89,000",4 or more,No,26
594,R_b8AhtYLGFJsJUXQ,2,"$30,000 - $49,000",None,No,23
595,R_5uQnvVPIJk8QBts,4,"$90,000 - $109,000",3,No,23
596,R_39pWdIemFCFg5fg,6,"$30,000 - $49,000",3,Yes,23
597,R_4SogjFucazJtJj0,5,"$30,000 - $49,000",4 or more,Yes,14
598,R_8owIhccXVK1DRb0,4,"$0 - $9,999",2,Yes,24
599,R_8eV8unKSML5Bh3g,4,"$10,000 - $29,000",None,Yes,22
600,R_9Ze8FNMKtRcY6A6,5,"$30,000 - $49,000",1,Yes,26
601,R_aaTHdePoAdj0zOu,1,"$50,000 - $69,000",2,No,33
602,R_2gFChuBTs37wtq6,5,"$30,000 - $49,000",3,Yes,25
603,R_6zIZJouyqm1J8IC,2,"$110,000 or more",1,No,21
604,R_6DOePYTjXDMELae,6,"$110,000 or more",None,Yes,14
605,R_8B9MRqWyZfuuV0y,2,"$90,000 - $109,000",2,Yes,11
606,R_24eYVfTlUKppCho,3,"$50,000 - $69,000",2,No,24
607,R_dppdybuM6CnEDs2,2,"$90,000 - $109,000",4 or more,Yes,22
608,R_89e2dKaAZkBkw9U,1,"$90,000 - $109,000",1,Yes,22
609,R_4OcGPkkKugo9mya,7,"$90,000 - $109,000",1,Yes,24
610,R_5mt2ZuBdEE62wcu,7,"$90,000 - $109,000",1,Yes,29
611,R_7ZO4Zyl5rUajkUK,6,"$10,000 - $29,000",1,Yes,25
612,R_2mkO2Zr4CnjlMea,6,"$10,000 - $29,000",2,No,29
613,R_3Oa6oTZwM5ABBKC,6,"$10,000 - $29,000",3,Yes,24
614,R_0BqAVrjr1yaFXU2,6,"$90,000 - $109,000",None,Yes,20
615,R_eM9kcS0H49P6Lhs,7,"$50,000 - $69,000",4 or more,Yes,24
616,R_5orCVPdnEFZz3Om,1,"$70,000 - $89,000",2,No,27
617,R_6Gr4JTbexdYZQJE,3,"$110,000 or more",4 or more,No,23
618,R_9nO9zyxSTRQWQwS,3,"$10,000 - $29,000",None,No,28
619,R_3xC99iOCEzCwpgi,4,"$110,000 or more",1,Yes,24
620,R_9NxYvK4ZuU7NRDE,3,"$10,000 - $29,000",2,No,23
621,R_6rM6c8ZrlOLbv7g,2,"$30,000 - $49,000",2,No,30
622,R_cD3kxubb8pX7yoC,5,"$10,000 - $29,000",None,No,28
623,R_1z531Upf3i9eaBo,3,"$110,000 or more",4 or more,Yes,29
624,R_0VbrWaxJx51qvPw,4,"$90,000 - $109,000",1,Yes,25
625,R_732Ws9Jhmt0gsBg,5,"$0 - $9,999",None,No,22
626,R_esvYZJ6HvTUK3k2,1,"$110,000 or more",4 or more,No,20
627,R_81TgM343iYwkTj0,7,"$10,000 - $29,000",4 or more,No,19
628,R_4Ml2X9UD67U9fIq,4,"$70,000 - $89,000",1,Yes,29
629,R_d6ah6QWjT12kZMy,3,"$90,000 - $109,000",4 or more,Yes,21
630,R_6l0Od67FHLejtSC,4,"$0 - $9,999",None,Yes,19
631,R_elLe0GqPKFwdACq,6,"$70,000 - $89,000",2,Yes,31
632,R_00Q0v9n67AQayHQ,6,"$30,000 - $49,000",2,No,19
633,R_eLM6UlCOV2tAYbc,6,"$90,000 - $109,000",None,No,26
634,R_cI2r8bd0lgXQ2ZU,2,"$0 - $9,999",None,Yes,24
635,R_77X4yF4MpAJkzVc,1,"$30,000 - $49,000",None,No,31
636,R_8qOH8HctqqEv8ge,2,"$30,000 - $49,000",2,No,20
637,R_0cXHoCmhH1XzgCG,3,"$110,000 or more",None,No,22
638,R_af7dkCnWBBt2H5k,5,"$110,000 or more",3,Yes,16
639,R_9KNYTxFwjUouiMu,3,"$90,000 - $109,000",1,No,25
640,R_9Xr7zw0rriDv1R4,6,"$10,000 - $29,000",2,Yes,32
641,R_2nM0jv6QCnJarIy,2,"$50,000 - $69,000",3,Yes,22
642,R_50xcYnYfSjAzR78,2,"$10,000 - $29,000",None,Yes,21
643,R_01fZKBxfn62S2GO,6,"$90,000 - $109,000",1,Yes,28
644,R_8CXbPz6UUuIQxXE,3,"$0 - $9,999",2,No,16
645,R_7Qfch8blGJEKxTg,2,"$110,000 or more",3,Yes,26
646,R_7ap9ECF0d3nT8Q6,3,"$50,000 - $69,000",4 or more,No,26
647,R_01iD87boHijQ6Wy,1,"$110,000 or more",2,Yes,23
648,R_6D3toBEuDOtc9WS,7,"$0 - $9,999",4 or more,No,23
649,R_4IQgaLJFkzQH5xY,1,"$110,000 or more",4 or more,Yes,13
650,R_0v1JUnXmOrRtu9E,3,"$0 - $9,999",3,Yes,13
651,R_bKLV9aMCTzvnLJs,2,"$50,000 - $69,000",4 or more,Yes,28
652,R_8whXc397WGfWTUa,3,"$30,000 - $49,000",4 or more,Yes,26
653,R_bf2RsdZdzv0UqdE,2,"$50,000 - $69,000",3,Yes,18
654,R_74lmOQBNnJQAs8S,1,"$110,000 or more",4 or more,No,26
655,R_bEECNtrj9T5TKh8,6,"$10,000 - $29,000",None,No,27
656,R_6u29WeHPCntrRuC,4,"$70,000 - $89,000",1,No,37
657,R_6tnwaycq9u8b76u,2,"$90,000 - $109,000",2,Yes,25
658,R_3xAnwzjdvOGems6,3,"$70,000 - $89,000",4 or more,Yes,21
659,R_8eMxO9rAu7ERXoy,2,"$70,000 - $89,000",2,Yes,29
660,R_0qxBcFomKLPULTU,3,"$0 - $9,999",None,Yes,20
661,R_cA4CownD1VT33dI,7,"$30,000 - $49,000",2,No,22
662,R_7PZbUqomTgA7N7o,4,"$10,000 - $29,000",4 or more,Yes,24
663,R_57MhIm5ZgNYunIy,4,"$30,000 - $49,000",2,No,29
664,R_0NWnzpdi8FvUtIG,7,"$0 - $9,999",4 or more,No,22
665,R_cHADpNx6EiH8PT8,6,"$10,000 - $29,000",1,No,27
666,R_3UXhxSIur9tlq0C,4,"$110,000 or more",2,No,23
667,R_1Y152dgV7yDzTFQ,1,"$110,000 or more",4 or more,Yes,22
668,R_bNPeulwrT8LH59Y,5,"$0 - $9,999",3,No,23
669,R_e9tZMI22XqbQQ3Y,1,"$50,000 - $69,000",None,Yes,21
670,R_dn8vmaJBrnFQMCi,6,"$0 - $9,999",1,Yes,27
671,R_cO7U2724zJDElvM,7,"$50,000 - $69,000",2,Yes,20
672,R_4UPEV6Ep3BO8Kh0,6,"$90,000 - $109,000",3,Yes,25
673,R_5inHo8HOIuWZnFk,6,"$10,000 - $29,000",3,Yes,27
674,R_5byKRyosYuFCWnY,2,"$70,000 - $89,000",2,No,31
675,R_erGKaBKkfuA7t3w,5,"$110,000 or more",None,Yes,29
676,R_6rGUhDO3MV23EhM,4,"$90,000 - $109,000",1,Yes,21
677,R_1AIFOk8ur1Jy2Ng,7,"$70,000 - $89,000",2,No,18
678,R_bl438utQAfsuuou,4,"$90,000 - $109,000",2,No,19
679,R_77MMrazrnBYARy6,1,"$50,000 - $69,000",2,Yes,20
680,R_bjYHwO22ZkQIhXE,3,"$70,000 - $89,000",None,No,21
681,R_4Sc2KYFcHQIXR1s,1,"$110,000 or more",2,No,20
682,R_6Asz9qU9xLrDbAq,5,"$10,000 - $29,000",None,Yes,25
683,R_4ZoSjYKaxSytwpg,1,"$30,000 - $49,000",1,Yes,24
684,R_0CGefaUsy2p3g1w,2,"$50,000 - $69,000",2,No,29
685,R_0VWR9hw6ZhxYozI,3,"$30,000 - $49,000",3,Yes,19
686,R_9zPENPUyWwFcW34,3,"$110,000 or more",4 or more,No,21
687,R_6Lufg0hcnT7TPVA,4,"$10,000 - $29,000",1,Yes,23
688,R_ekutpPfNZccS3RA,1,"$10,000 - $29,000",2,No,18
689,R_aaXZIjCw8kjLrfg,2,"$110,000 or more",3,Yes,30
690,R_eySGOriKDCi5vEO,3,"$0 - $9,999",None,Yes,24
691,R_9TshTyOV2uqp250,5,"$50,000 - $69,000",4 or more,No,23
692,R_40COicW7ezwssFU,4,"$70,000 - $89,000",3,No,27
693,R_4MyGlKSMRgGULD8,4,"$0 - $9,999",4 or more,No,20
694,R_3K0M3hEZmub2MzY,7,"$110,000 or more",3,Yes,22
695,R_b8voUMYF8ieQLBA,1,"$30,000 - $49,000",4 or more,No,19
696,R_8BbjFeN8bgecmA6,4,"$110,000 or more",2,Yes,23
697,R_eIMe1TQkpQBuCvs,4,"$90,000 - $109,000",1,Yes,24
