StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
2023-11-22 12:57:51,2023-11-22 12:57:51,Survey Test,*******,100,0,True,2023-11-22 12:57:51,R_6G56LUfvI525Vj0,*******,*******,*******,*******,*******,*******,test,,50-59,"$110,000 or more",4 or more,Yes,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree
2023-11-22 12:57:51,2023-11-22 12:57:51,Survey Test,*******,100,0,True,2023-11-22 12:57:51,R_cSAJRKX6IBbzw7I,*******,*******,*******,*******,*******,*******,test,,18-20,"$50,000 - $69,000",4 or more,Yes,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat agree
2023-11-22 12:57:52,2023-11-22 12:57:52,Survey Test,*******,100,0,True,2023-11-22 12:57:52,R_5zrwddROMmzykaW,*******,*******,*******,*******,*******,*******,test,,18-20,"$110,000 or more",4 or more,No,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree
2023-11-22 12:57:52,2023-11-22 12:57:52,Survey Test,*******,100,0,True,2023-11-22 12:57:52,R_2sZjiWCWaS31HMy,*******,*******,*******,*******,*******,*******,test,,40-49,"$50,000 - $69,000",1,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree
2023-11-22 12:57:52,2023-11-22 12:57:52,Survey Test,*******,100,0,True,2023-11-22 12:57:52,R_6nEYOvbdj3nnq9E,*******,*******,*******,*******,*******,*******,test,,21-29,"$30,000 - $49,000",4 or more,No,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly agree
2023-11-22 12:57:52,2023-11-22 12:57:52,Survey Test,*******,100,0,True,2023-11-22 12:57:52,R_3n6XaWCFu3hYp8O,*******,*******,*******,*******,*******,*******,test,,50-59,"$0 - $9,999",1,Yes,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:57:52,2023-11-22 12:57:52,Survey Test,*******,100,0,True,2023-11-22 12:57:52,R_9SspbbGvQNiW7LE,*******,*******,*******,*******,*******,*******,test,,18-20,"$50,000 - $69,000",3,No,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
2023-11-22 12:57:53,2023-11-22 12:57:53,Survey Test,*******,100,0,True,2023-11-22 12:57:53,R_erl8mCMRnG7bZX0,*******,*******,*******,*******,*******,*******,test,,60 or older,"$110,000 or more",None,Yes,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:57:53,2023-11-22 12:57:53,Survey Test,*******,100,0,True,2023-11-22 12:57:53,R_bCKO70kZySmOMey,*******,*******,*******,*******,*******,*******,test,,40-49,"$90,000 - $109,000",None,No,Somewhat disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree
2023-11-22 12:57:53,2023-11-22 12:57:53,Survey Test,*******,100,0,True,2023-11-22 12:57:53,R_3w092iSsQNbsHky,*******,*******,*******,*******,*******,*******,test,,30-39,"$30,000 - $49,000",1,No,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 12:57:53,2023-11-22 12:57:53,Survey Test,*******,100,0,True,2023-11-22 12:57:53,R_dglkQtrVSGj0iBE,*******,*******,*******,*******,*******,*******,test,,50-59,"$110,000 or more",1,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
2023-11-22 12:57:53,2023-11-22 12:57:53,Survey Test,*******,100,0,True,2023-11-22 12:57:53,R_eRNqOzCs187Xfds,*******,*******,*******,*******,*******,*******,test,,40-49,"$50,000 - $69,000",1,Yes,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree
2023-11-22 12:57:54,2023-11-22 12:57:54,Survey Test,*******,100,0,True,2023-11-22 12:57:54,R_0JUfncVWRYUDeWa,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$70,000 - $89,000",2,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:57:54,2023-11-22 12:57:54,Survey Test,*******,100,0,True,2023-11-22 12:57:54,R_8rbEp5C76ytoIV8,*******,*******,*******,*******,*******,*******,test,,40-49,"$30,000 - $49,000",4 or more,No,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2023-11-22 12:57:54,2023-11-22 12:57:54,Survey Test,*******,100,0,True,2023-11-22 12:57:54,R_cIMHb3BA2GyoNwO,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$90,000 - $109,000",1,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Neither agree nor disagree
2023-11-22 12:57:54,2023-11-22 12:57:54,Survey Test,*******,100,0,True,2023-11-22 12:57:54,R_d5twv0oiY3hzKNE,*******,*******,*******,*******,*******,*******,test,,60 or older,"$70,000 - $89,000",3,Yes,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:57:54,2023-11-22 12:57:54,Survey Test,*******,100,0,True,2023-11-22 12:57:54,R_cCo8xYXHVZsVvQG,*******,*******,*******,*******,*******,*******,test,,40-49,"$110,000 or more",2,No,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly Disagree,Somewhat agree
2023-11-22 12:57:55,2023-11-22 12:57:55,Survey Test,*******,100,0,True,2023-11-22 12:57:55,R_6r6tG6Hs7pRgRJI,*******,*******,*******,*******,*******,*******,test,,40-49,"$110,000 or more",2,No,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
2023-11-22 12:57:55,2023-11-22 12:57:55,Survey Test,*******,100,0,True,2023-11-22 12:57:55,R_1F7QzcL7zSYw1FA,*******,*******,*******,*******,*******,*******,test,,60 or older,"$50,000 - $69,000",2,No,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat agree
2023-11-22 12:57:55,2023-11-22 12:57:55,Survey Test,*******,100,0,True,2023-11-22 12:57:55,R_5BaCVwyD8T2rAZo,*******,*******,*******,*******,*******,*******,test,,30-39,"$50,000 - $69,000",1,Yes,Strongly agree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:57:55,2023-11-22 12:57:55,Survey Test,*******,100,0,True,2023-11-22 12:57:55,R_79FNKsHfpCRXDOC,*******,*******,*******,*******,*******,*******,test,,40-49,"$10,000 - $29,000",3,Yes,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree
2023-11-22 12:57:55,2023-11-22 12:57:55,Survey Test,*******,100,0,True,2023-11-22 12:57:56,R_3sihe6Kny7qn2u2,*******,*******,*******,*******,*******,*******,test,,40-49,"$70,000 - $89,000",None,No,Somewhat disagree,Strongly agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree
2023-11-22 12:57:56,2023-11-22 12:57:56,Survey Test,*******,100,0,True,2023-11-22 12:57:56,R_8CIylMGrXDwbhRQ,*******,*******,*******,*******,*******,*******,test,,30-39,"$0 - $9,999",2,Yes,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2023-11-22 12:57:56,2023-11-22 12:57:56,Survey Test,*******,100,0,True,2023-11-22 12:57:56,R_0qde28CLtvo61Se,*******,*******,*******,*******,*******,*******,test,,18-20,"$0 - $9,999",1,No,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
2023-11-22 12:57:56,2023-11-22 12:57:56,Survey Test,*******,100,0,True,2023-11-22 12:57:56,R_7QcOJNNcWRU0NBY,*******,*******,*******,*******,*******,*******,test,,21-29,"$30,000 - $49,000",1,No,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree
2023-11-22 12:57:56,2023-11-22 12:57:56,Survey Test,*******,100,0,True,2023-11-22 12:57:56,R_5juiWixbaSFZAoe,*******,*******,*******,*******,*******,*******,test,,50-59,"$30,000 - $49,000",1,Yes,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat agree
2023-11-22 12:57:57,2023-11-22 12:57:57,Survey Test,*******,100,0,True,2023-11-22 12:57:57,R_bBmqIGOatZeUCsS,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$0 - $9,999",3,Yes,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
2023-11-22 12:57:57,2023-11-22 12:57:57,Survey Test,*******,100,0,True,2023-11-22 12:57:57,R_eqzSnyqG8jXeIbs,*******,*******,*******,*******,*******,*******,test,,18-20,"$30,000 - $49,000",4 or more,Yes,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 12:57:57,2023-11-22 12:57:57,Survey Test,*******,100,0,True,2023-11-22 12:57:57,R_78I04pAMUaIhFEa,*******,*******,*******,*******,*******,*******,test,,40-49,"$0 - $9,999",3,Yes,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:57:57,2023-11-22 12:57:57,Survey Test,*******,100,0,True,2023-11-22 12:57:57,R_5pOfjD3FTy7PVvo,*******,*******,*******,*******,*******,*******,test,,30-39,"$90,000 - $109,000",3,Yes,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree
2023-11-22 12:57:57,2023-11-22 12:57:57,Survey Test,*******,100,0,True,2023-11-22 12:57:58,R_6SANxo8UZjpnSMC,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$30,000 - $49,000",1,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2023-11-22 12:57:58,2023-11-22 12:57:58,Survey Test,*******,100,0,True,2023-11-22 12:57:58,R_1QZZSOJ4F0q3NEq,*******,*******,*******,*******,*******,*******,test,,18-20,"$30,000 - $49,000",3,No,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
2023-11-22 12:57:58,2023-11-22 12:57:58,Survey Test,*******,100,0,True,2023-11-22 12:57:58,R_1MPhLHCeHH5CcDQ,*******,*******,*******,*******,*******,*******,test,,30-39,"$70,000 - $89,000",3,Yes,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree
2023-11-22 12:57:59,2023-11-22 12:57:59,Survey Test,*******,100,0,True,2023-11-22 12:57:59,R_eXbnbkvw7VQT3xA,*******,*******,*******,*******,*******,*******,test,,50-59,"$90,000 - $109,000",2,No,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:57:59,2023-11-22 12:57:59,Survey Test,*******,100,0,True,2023-11-22 12:57:59,R_3U86uoYM38gNsb4,*******,*******,*******,*******,*******,*******,test,,18-20,"$110,000 or more",1,No,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly agree
2023-11-22 12:57:59,2023-11-22 12:57:59,Survey Test,*******,100,0,True,2023-11-22 12:57:59,R_a4aaM55mvawBoYm,*******,*******,*******,*******,*******,*******,test,,30-39,"$90,000 - $109,000",2,No,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree
2023-11-22 12:57:59,2023-11-22 12:57:59,Survey Test,*******,100,0,True,2023-11-22 12:58:00,R_8qtUavN0SJr9o6W,*******,*******,*******,*******,*******,*******,test,,60 or older,"$30,000 - $49,000",4 or more,Yes,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Neither agree nor disagree
2023-11-22 12:58:00,2023-11-22 12:58:00,Survey Test,*******,100,0,True,2023-11-22 12:58:00,R_3Ko6X0hjyrVeNMO,*******,*******,*******,*******,*******,*******,test,,40-49,"$50,000 - $69,000",3,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree
2023-11-22 12:58:00,2023-11-22 12:58:00,Survey Test,*******,100,0,True,2023-11-22 12:58:00,R_a9r8fhMaJ5RIUJ0,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$0 - $9,999",2,No,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree
2023-11-22 12:58:00,2023-11-22 12:58:00,Survey Test,*******,100,0,True,2023-11-22 12:58:00,R_8lkIOESUB6MLZ1s,*******,*******,*******,*******,*******,*******,test,,60 or older,"$70,000 - $89,000",1,Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
2023-11-22 12:58:01,2023-11-22 12:58:01,Survey Test,*******,100,0,True,2023-11-22 12:58:01,R_9MJLFvhvbfsxmJ0,*******,*******,*******,*******,*******,*******,test,,18-20,"$30,000 - $49,000",1,No,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree
2023-11-22 12:58:01,2023-11-22 12:58:01,Survey Test,*******,100,0,True,2023-11-22 12:58:01,R_dgxODRSodMNMBsG,*******,*******,*******,*******,*******,*******,test,,18-20,"$30,000 - $49,000",None,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
2023-11-22 12:58:01,2023-11-22 12:58:01,Survey Test,*******,100,0,True,2023-11-22 12:58:01,R_9SmsVfzPuP91dFc,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$70,000 - $89,000",1,No,Strongly Disagree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:58:01,2023-11-22 12:58:01,Survey Test,*******,100,0,True,2023-11-22 12:58:01,R_eLpjd8AOYVxIH0q,*******,*******,*******,*******,*******,*******,test,,18-20,"$10,000 - $29,000",None,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
2023-11-22 12:58:02,2023-11-22 12:58:02,Survey Test,*******,100,0,True,2023-11-22 12:58:02,R_0fGcmVWhg3UMbt4,*******,*******,*******,*******,*******,*******,test,,50-59,"$30,000 - $49,000",None,Yes,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:58:02,2023-11-22 12:58:02,Survey Test,*******,100,0,True,2023-11-22 12:58:02,R_55RWGaIL9U90RSu,*******,*******,*******,*******,*******,*******,test,,60 or older,"$70,000 - $89,000",2,No,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Strongly agree
2023-11-22 12:58:02,2023-11-22 12:58:02,Survey Test,*******,100,0,True,2023-11-22 12:58:02,R_9yq4LLb0f033cdE,*******,*******,*******,*******,*******,*******,test,,40-49,"$110,000 or more",2,Yes,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
2023-11-22 12:58:02,2023-11-22 12:58:02,Survey Test,*******,100,0,True,2023-11-22 12:58:02,R_2mkJ5hjzVscvf4q,*******,*******,*******,*******,*******,*******,test,,40-49,"$90,000 - $109,000",None,Yes,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2023-11-22 12:58:02,2023-11-22 12:58:02,Survey Test,*******,100,0,True,2023-11-22 12:58:03,R_4P0ibQMszM32uNw,*******,*******,*******,*******,*******,*******,test,,60 or older,"$10,000 - $29,000",None,Yes,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly Disagree
2023-11-22 12:58:03,2023-11-22 12:58:03,Survey Test,*******,100,0,True,2023-11-22 12:58:03,R_0rJasOqBsMHteV8,*******,*******,*******,*******,*******,*******,test,,60 or older,"$0 - $9,999",None,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Somewhat disagree
2023-11-22 12:58:03,2023-11-22 12:58:03,Survey Test,*******,100,0,True,2023-11-22 12:58:03,R_3PgDlMA0dSkz3HU,*******,*******,*******,*******,*******,*******,test,,60 or older,"$30,000 - $49,000",3,Yes,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
2023-11-22 12:58:03,2023-11-22 12:58:03,Survey Test,*******,100,0,True,2023-11-22 12:58:03,R_e5HDHMsnSUxHy8C,*******,*******,*******,*******,*******,*******,test,,21-29,"$10,000 - $29,000",2,Yes,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 12:58:03,2023-11-22 12:58:03,Survey Test,*******,100,0,True,2023-11-22 12:58:03,R_0j3ebvDGVASBVae,*******,*******,*******,*******,*******,*******,test,,21-29,"$50,000 - $69,000",2,No,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree
2023-11-22 12:58:03,2023-11-22 12:58:03,Survey Test,*******,100,0,True,2023-11-22 12:58:04,R_8xplwcBQ6D9xdgq,*******,*******,*******,*******,*******,*******,test,,50-59,"$10,000 - $29,000",2,Yes,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:58:04,2023-11-22 12:58:04,Survey Test,*******,100,0,True,2023-11-22 12:58:04,R_0c5PllP8h9a2QEC,*******,*******,*******,*******,*******,*******,test,,40-49,"$50,000 - $69,000",4 or more,No,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2023-11-22 12:58:04,2023-11-22 12:58:04,Survey Test,*******,100,0,True,2023-11-22 12:58:04,R_0iBTHhFrPoqiejQ,*******,*******,*******,*******,*******,*******,test,,21-29,"$10,000 - $29,000",1,No,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
2023-11-22 12:58:04,2023-11-22 12:58:04,Survey Test,*******,100,0,True,2023-11-22 12:58:04,R_bwGwrHxGVHXyTgq,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$90,000 - $109,000",3,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
2023-11-22 12:58:04,2023-11-22 12:58:04,Survey Test,*******,100,0,True,2023-11-22 12:58:05,R_5hitchUvfXw43eC,*******,*******,*******,*******,*******,*******,test,,18-20,"$90,000 - $109,000",None,No,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree
2023-11-22 12:58:05,2023-11-22 12:58:05,Survey Test,*******,100,0,True,2023-11-22 12:58:05,R_8nXTJkRhkBiMXJ4,*******,*******,*******,*******,*******,*******,test,,18-20,"$0 - $9,999",3,No,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree
2023-11-22 12:58:05,2023-11-22 12:58:05,Survey Test,*******,100,0,True,2023-11-22 12:58:05,R_a3H3jaWd3MkCMhE,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$90,000 - $109,000",3,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-11-22 12:58:05,2023-11-22 12:58:05,Survey Test,*******,100,0,True,2023-11-22 12:58:05,R_2fpwdbYbboLD2hU,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$90,000 - $109,000",3,Yes,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly agree
2023-11-22 12:58:05,2023-11-22 12:58:05,Survey Test,*******,100,0,True,2023-11-22 12:58:06,R_bD68LY8N7bUzjQG,*******,*******,*******,*******,*******,*******,test,,50-59,"$10,000 - $29,000",1,Yes,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
2023-11-22 12:58:06,2023-11-22 12:58:06,Survey Test,*******,100,0,True,2023-11-22 12:58:06,R_5sClBuo4k2m16h8,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$30,000 - $49,000",1,Yes,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree
2023-11-22 12:58:06,2023-11-22 12:58:06,Survey Test,*******,100,0,True,2023-11-22 12:58:06,R_b2D7So2XDaWPJ6C,*******,*******,*******,*******,*******,*******,test,,40-49,"$30,000 - $49,000",None,Yes,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
2023-11-22 12:58:06,2023-11-22 12:58:06,Survey Test,*******,100,0,True,2023-11-22 12:58:06,R_3VL3Np8mzbolPT0,*******,*******,*******,*******,*******,*******,test,,40-49,"$50,000 - $69,000",None,Yes,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree
2023-11-22 12:58:06,2023-11-22 12:58:06,Survey Test,*******,100,0,True,2023-11-22 12:58:06,R_9ofRveJmUSLbx42,*******,*******,*******,*******,*******,*******,test,,60 or older,"$70,000 - $89,000",3,No,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
2023-11-22 12:58:07,2023-11-22 12:58:07,Survey Test,*******,100,0,True,2023-11-22 12:58:07,R_0ig26G4qrvnpq5M,*******,*******,*******,*******,*******,*******,test,,40-49,"$90,000 - $109,000",2,No,Strongly Disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly Disagree
2023-11-22 12:58:07,2023-11-22 12:58:07,Survey Test,*******,100,0,True,2023-11-22 12:58:07,R_6EWQ6zs9BkXeqCW,*******,*******,*******,*******,*******,*******,test,,18-20,"$0 - $9,999",2,Yes,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
2023-11-22 12:58:07,2023-11-22 12:58:07,Survey Test,*******,100,0,True,2023-11-22 12:58:07,R_2bj1dAggWO55if4,*******,*******,*******,*******,*******,*******,test,,30-39,"$0 - $9,999",3,Yes,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree
2023-11-22 12:58:07,2023-11-22 12:58:07,Survey Test,*******,100,0,True,2023-11-22 12:58:07,R_9nIVtXh4XY9GnHg,*******,*******,*******,*******,*******,*******,test,,21-29,"$70,000 - $89,000",None,No,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
2023-11-22 12:58:07,2023-11-22 12:58:07,Survey Test,*******,100,0,True,2023-11-22 12:58:08,R_a2Gz44tRBM6turs,*******,*******,*******,*******,*******,*******,test,,60 or older,"$0 - $9,999",None,No,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree
2023-11-22 12:58:08,2023-11-22 12:58:08,Survey Test,*******,100,0,True,2023-11-22 12:58:08,R_50T0H9eSU6NSnXg,*******,*******,*******,*******,*******,*******,test,,30-39,"$50,000 - $69,000",1,Yes,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-11-22 12:58:08,2023-11-22 12:58:08,Survey Test,*******,100,0,True,2023-11-22 12:58:08,R_byphwn1M5YpgtNQ,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$90,000 - $109,000",2,No,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree
2023-11-22 12:58:08,2023-11-22 12:58:08,Survey Test,*******,100,0,True,2023-11-22 12:58:08,R_3mhOAY2FZYwko9E,*******,*******,*******,*******,*******,*******,test,,50-59,"$110,000 or more",1,No,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree
2023-11-22 12:58:08,2023-11-22 12:58:08,Survey Test,*******,100,0,True,2023-11-22 12:58:08,R_e4FoEu8dfVIvGEm,*******,*******,*******,*******,*******,*******,test,,30-39,"$70,000 - $89,000",2,Yes,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
